title,views,date_time,video_link,thumbnail_link
Introduction to Strings: 4-Hour Complete Video | DSA Series for Beginners,5.2K views,3 months ago,/watch?v=qdj6l7PaulA,https://i.ytimg.com/vi/qdj6l7PaulA/hqdefault.jpg
GfG 160 | Day - 17 | First Non-Repeating Character | 160 Days Daily DSA Problem Solving | GfG,652 views,3 months ago,/watch?v=NxnfmfScXBE,https://i.ytimg.com/vi/NxnfmfScXBE/hqdefault.jpg
GfG 160 | Day - 16 | Anagram Check | 160 Days Daily DSA Problem Solving | GeeksforGeeks,816 views,3 months ago,/watch?v=Tr3s_nuSGgM,https://i.ytimg.com/vi/Tr3s_nuSGgM/hqdefault.jpg
GfG 160 | Day - 15 | Add Two Binary Strings | 160 Days Daily DSA Problem Solving | GfG,1K views,3 months ago,/watch?v=WMmu8ktpF3k,https://i.ytimg.com/vi/WMmu8ktpF3k/hqdefault.jpg
"I went to the House of a Microsoft Software Engineer | Life at Microsoft |SDE Roadmap, Salary, Perks",17K views,3 months ago,/watch?v=vNVSlT0WgKk,https://i.ytimg.com/vi/vNVSlT0WgKk/hqdefault.jpg
GfG 160 | Day - 14 | String to Integer - Your Own atoi() | 160 Days Daily DSA Problem Solving | GfG,1.4K views,3 months ago,/watch?v=ne_Ki_sdRSk,https://i.ytimg.com/vi/ne_Ki_sdRSk/hqdefault.jpg
GfG 160 | Day - 13 | First Missing Positive | 160 Days Daily DSA Problem Solving | GeeksforGeeks,868 views,3 months ago,/watch?v=LGGKan4TOXM,https://i.ytimg.com/vi/LGGKan4TOXM/hqdefault.jpg
GfG 160 | Day - 12 | Maximum Sum Subarray in Circular | 160 Days Daily DSA Problem Solving | GfG,918 views,3 months ago,/watch?v=l7smKuFKnNU,https://i.ytimg.com/vi/l7smKuFKnNU/hqdefault.jpg
"How She Cracked Google, Microsoft and Goldman Sachs? | Inspirational Journey",4.5K views,3 months ago,/watch?v=EI_sa4mRuzY,https://i.ytimg.com/vi/EI_sa4mRuzY/hqdefault.jpg
GfG 160 | Day - 11 | Maximum Product Subarray | 160 Days Daily DSA Problem Solving | GeeksforGeeks,900 views,3 months ago,/watch?v=54ftU2BX32Q,https://i.ytimg.com/vi/54ftU2BX32Q/hqdefault.jpg
